Console_Rank,Platform,Console_Type,Firm,Release_Year,Units_Sold_in_Millions
1,PlayStation 2,Home,Sony,2000,155.0
2,Nintendo DS family,Handheld,Nintendo,2004,154.02
3,Game Boy,Handheld,Nintendo,1989,118.69
4,PlayStation 4,Home,Sony,2013,116.6
5,PlayStation (console),Home,Sony,1994,102.49
6,Wii,Home,Nintendo,2006,101.63
7,Nintendo Switch,Hybrid,Nintendo,2017,92.87
8,PlayStation 3,Home,Sony,2006,87.4
9,Xbox 360,Home,Microsoft,2005,84.0
10,Game Boy Advance family,Handheld,Nintendo,2001,81.51
11,PlayStation Portable,Handheld,Sony,2004,80.0
12,Nintendo 3DS family,Handheld,Nintendo,2011,75.94
13,Nintendo Entertainment System,Home,Nintendo,1983,61.91
14,Xbox One,Home,Microsoft,2013,51.0
15,Super Nintendo Entertainment System,Home,Nintendo,1990,49.1
16,Game & Watch,Handheld,Nintendo,1980,43.4
17,Nintendo 64,Home,Nintendo,1996,32.93
18,Sega Genesis/Mega Drive,Home,Sega,1988,30.75
19,Atari 2600,Home,Atari,1977,30.0
20,Xbox (console),Home,Microsoft,2001,24.0
21,GameCube,Home,Nintendo,2001,21.74
22,Wii U,Home,Nintendo,2012,13.56
23,PlayStation 5,Home,Sony,2020,13.4
24,Xbox Series X and Series S,Home,Microsoft,2020,12.0
25,Sega Game Gear,Handheld,Sega,1990,10.62
26,PlayStation Vita,Handheld,Sony,2011,10.0
27,Sega Master System,Home,Sega,1986,10.0
28,PC Engine/TurboGrafx-16,Home,NEC,1987,10.0
29,Sega Saturn,Home,Sega,1994,9.26
30,Dreamcast,Home,Sega,1998,9.13
31,Master System,Home,Tectoy,1989,8.0
32,Dendy (console),Home,Micro Genius,1992,6.0
33,Super NES Classic Edition,Dedicated,Nintendo,2017,5.28
34,Famicom Disk System,Home console add-on,Nintendo,1986,4.5
35,Sega Pico,Home,Sega,1993,3.4
36,WonderSwan,Handheld,Bandai,1999,3.5
37,Color TV-Game,Dedicated,Nintendo,1977,3.0
38,Intellivision,Home,Mattel,1980,3.0
39,Mega Drive,Home,Tectoy,1990,3.0
40,N-Gage (device),Handheld,Nokia,2003,3.0
41,Sega CD,Home console add-on,Sega,1991,2.77
42,NES Classic Edition,Dedicated,Nintendo,2016,2.3
43,ColecoVision,Home,Coleco,1982,2.0
44,Magnavox Odyssey²,Home,Magnavox,1978,2.0
45,PC Engine CD-ROM²,Home console add-on,NEC,1988,1.92
46,Atari Lynx,Handheld,Atari,1989,1.0
47,Philips CD-i,Home,Philips,1990,1.0
48,Telstar (game console),Dedicated,Coleco,1976,1.0
49,Atari 5200,Home,Atari,1982,1.0
50,Atari 7800,Home,Atari,1986,1.0
